Name,Price,Adress,img_link
Perroquet,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg
Perruches,30000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg
Boeuf,600000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg
Poisson Aquarium,8500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg
Chaton Gimalayen Siamois,250000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333502_uploaded_image1_1691932427.jpg
Poussins bleus hollandais,1500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223952_uploaded_image1_1684611180.jpg
Paon,400,"Touba, Sénégal",https://images.coinafrique.com/thumb_4226444_uploaded_image1_1684797786.jpg
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Paon,140000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804686_uploaded_image1_1718999173.jpg
Poisson Aquarium,8500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg
Perruche ondulée,15000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846061_uploaded_image1_1721147785.jpg
Chat persan chinchilla blue golden shaded,650000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg
Chat persan chinchilla blue golden shaded,650000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg
Chatons persans chinchilla golden shaded,500000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268926_uploaded_image1_1687601650.jpg
Poussins d'autruche,50000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg
Paon,290000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4277277_uploaded_image1_1688258720.jpg
Poussins de canard,2500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917429_uploaded_image1_1724966703.jpg
Chat tigré,60000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290090_uploaded_image1_1689085062.jpg
Chat tigré,60000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290090_uploaded_image1_1689085062.jpg
Chat Scottish fold,700000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4326378_uploaded_image1_1691464417.jpg
Cailles de chair,500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327166_uploaded_image1_1691508551.jpg
Chatons  British shorthair,650000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4328377_uploaded_image1_1691583410.jpg
Perroquets,50000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903200_uploaded_image1_1724163057.jpg
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
