web-scraper-order,web-scraper-start-url,containers,containers-href,Name,Price,Adress,img_link
"1732649364-84","https://sn.coinafrique.com/categorie/chiens?page=9","240 000CFA","https://sn.coinafrique.com/annonce/chiens/caniche-2308946","Chiot Caniche","140 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4546796_uploaded_image1_1705343315.jpg"
"1732649367-85","https://sn.coinafrique.com/categorie/chiens?page=9","350 000CFA","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2324363","Chiots bichons maltais femelles","150 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg"
"1732649369-86","https://sn.coinafrique.com/categorie/chiens?page=9","150 000CFA","https://sn.coinafrique.com/annonce/chiens/chien-berger-malinois-2331869","Chiot","100 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg"
"1732649372-87","https://sn.coinafrique.com/categorie/chiens?page=9","350 000CFA","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2354463","Chiot Berger Allemand","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg"
"1732649375-88","https://sn.coinafrique.com/categorie/chiens?page=9","300 000CFA","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-2373725","Chiot yorkie","300 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg"
"1732649377-89","https://sn.coinafrique.com/categorie/chiens?page=9","350 000CFA","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2374457","Chiot Berger Allemand","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg"
"1732649380-90","https://sn.coinafrique.com/categorie/chiens?page=9","300 000CFA","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-2417666","Chiot Caniche bichon","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4117078_uploaded_image1_1677779647.jpg"
"1732649384-91","https://sn.coinafrique.com/categorie/chiens?page=9","mr gomis","https://sn.coinafrique.com/profil/6c0a7cbb-c45b-46cd-bb32-021fcb71e3fe","Peugeot 308 2016","4 300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5044185_uploaded_image1_1731605581.jpg"
"1732649386-92","https://sn.coinafrique.com/categorie/chiens?page=9","250 000CFA","https://sn.coinafrique.com/annonce/chiens/malinois-pur-sang-2425090","Chiot Malinois","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4312162_uploaded_image1_1690550986.jpg"
"1732649390-93","https://sn.coinafrique.com/categorie/chiens?page=9","250 000CFA","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2441977","Chiots malinois","280 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg"
