Name,Price,Adress,img_link
Chien Canne Corso italien,300000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3190440_uploaded_image1_1624569942.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Rottweiler,300000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4920593_uploaded_image1_1725147642.jpg
Caniche bichon,200000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3202334_uploaded_image1_1625164146.jpg
Chiot femelle boerboel,550000,"Thies, Sénégal",https://images.coinafrique.com/thumb_3874975_uploaded_image1_1662997342.jpg
Chiot métisse pitbull - malinois,170000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3236932_uploaded_image1_1626721106.jpg
Chiot Alaskan Malamut,550000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3241666_uploaded_image1_1627044118.jpg
Chiot Labrador,10000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3241804_uploaded_image1_1627049158.jpg
Chiot Berger Malinois,130000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4894008_uploaded_image1_1723642785.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chien de garde,350000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045344_uploaded_image1_1731670002.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
